lon,lat,dep,mag,otime,atime,aphase,dist,start_file,end_file
-31.874,-55.2793,10.0,7.4,2016-08-19T07:32:22.730000Z,2016-08-19T07:42:31.209287Z,P,60.2581148334,201608190732312092,201608190757312092
173.1108,-22.4778,16.44,7.2,2016-08-12T01:26:36.290000Z,2016-08-12T01:37:04.442774Z,P,63.3343036513,201608120127044427,201608120152044427
-17.8294,-0.0471,10.0,7.1,2016-08-29T04:29:57.880000Z,2016-08-29T04:43:25.855812Z,P,96.1345803438,201608290433258558,201608290458258558
179.1461,-37.3586,19.0,7.0,2016-09-01T16:37:57.300000Z,2016-09-01T16:47:13.391833Z,P,53.0890727893,201609011637133918,201609011702133918
-178.2443,-19.7819,596.4,6.9,2016-09-24T21:28:41.700000Z,2016-09-24T21:37:33.675358Z,P,57.2829624039,201609242127336753,201609242152336753
152.7879,-3.6914,499.06,6.7,2016-08-31T03:11:36.060000Z,2016-08-31T03:23:40.813671Z,P,89.7871417875,201608310313408136,201608310338408136
-174.984,-18.1706,202.0,6.4,2016-09-24T21:07:15.790000Z,2016-09-24T21:16:27.982208Z,P,55.2564969894,201609242106279822,201609242131279822
-31.7546,-55.2775,10.0,6.4,2016-08-21T03:45:23.740000Z,2016-08-21T03:55:32.672358Z,P,60.324293409,201608210345326723,201608210410326723
-177.3437,-25.1679,114.09,6.2,2016-08-12T03:29:32.850000Z,2016-08-12T03:38:47.062402Z,P,54.2762005997,20160812032847624,20160812035347624
-66.0261,-22.3087,270.0,6.2,2016-08-04T14:15:13.090000Z,2016-08-04T14:22:56.984829Z,P,44.3686907835,201608041412569848,201608041437569848
-76.9536,-5.573,121.0,6.1,2016-09-10T10:08:20.020000Z,2016-09-10T10:16:19.362333Z,P,44.5112919638,201609101006193623,201609101031193623
158.7126,-54.6136,10.0,6.1,2016-09-08T21:46:20.100000Z,2016-09-08T21:56:40.727550Z,P,62.0494008671,201609082146407275,201609082211407275
178.9291,-37.0522,13.73,6.1,2016-09-01T17:14:06.060000Z,2016-09-01T17:23:24.825231Z,P,53.3383855874,201609011713248252,201609011738248252
159.1673,-9.329,14.0,6.0,2016-09-14T07:25:00.070000Z,2016-09-14T07:37:16.549122Z,P,81.425826802,201609140727165491,201609140752165491
-76.1686,7.3736,18.0,6.0,2016-09-14T01:58:31.570000Z,2016-09-14T02:07:56.945669Z,P,54.3352799727,201609140157569456,201609140222569456
