,lon,lat,dep,mag,otime,atime,aphase,dist,start_file,end_file
234,-148.7311,64.8457,16.0,2.4,2016-08-06T22:59:36.000000Z,2016-08-06T22:59:45.054159Z,p,0.450383604206,20160806224945541,20160806231445541
264,-148.7492,65.0329,20.0,2.4,2016-08-19T00:52:42.000000Z,2016-08-19T00:52:51.786440Z,P,0.48203742571099994,201608190042517864,201608190107517864
423,-149.0704,65.1511,14.3,2.2,2016-08-02T16:40:43.000000Z,2016-08-02T16:40:55.717023Z,p,0.651477377582,201608021630557170,201608021655557170
293,-150.0079,65.2884,15.0,2.3,2016-08-25T14:49:36.000000Z,2016-08-25T14:49:56.148990Z,P,1.0668450518600001,201608251439561489,201608251504561489
422,-149.0203,63.8672,111.5,2.2,2016-08-31T10:39:35.000000Z,2016-08-31T10:39:58.032027Z,p,1.1642321725799998,20160831102958320,20160831105458320
405,-149.5812,63.9956,140.8,2.2,2016-09-07T06:19:57.000000Z,2016-09-07T06:20:22.780386Z,p,1.20472941181,201609070610227803,201609070635227803
491,-146.6154,63.7114,5.0,2.1,2016-08-05T16:18:43.000000Z,2016-08-05T16:19:06.988089Z,p,1.25094170717,201608051609069880,201608051634069880
19,-147.995,63.559,2.0,3.8,2016-08-26T23:11:25.000000Z,2016-08-26T23:11:50.373574Z,p,1.32361713122,201608262301503735,201608262326503735
47,-148.0612,63.5583,2.8,3.2,2016-08-26T23:17:18.000000Z,2016-08-26T23:17:43.443487Z,P,1.32766359755,201608262307434434,201608262332434434
549,-150.7946,65.0119,19.2,2.1,2016-09-23T13:33:42.000000Z,2016-09-23T13:34:05.493710Z,P,1.32885829818,201609231324054937,201609231349054937
24,-150.7974,64.9957,18.5,3.6,2016-09-23T13:26:09.000000Z,2016-09-23T13:26:32.577679Z,P,1.32886964517,201609231316325776,201609231341325776
512,-144.7374,65.3923,1.9,2.1,2016-09-18T08:47:40.000000Z,2016-09-18T08:48:05.654428Z,p,1.3382725846899999,201609180838056544,201609180903056544
164,-144.7439,65.4101,1.6,2.6,2016-09-21T04:44:27.000000Z,2016-09-21T04:44:52.732789Z,P,1.34236122295,201609210434527327,201609210459527327
510,-144.7318,65.3998,1.2,2.1,2016-09-18T01:38:15.000000Z,2016-09-18T01:38:40.748887Z,P,1.3431927026,201609180128407488,201609180153407488
370,-144.7339,65.4211,4.0,2.2,2016-08-28T14:03:17.000000Z,2016-08-28T14:03:42.611988Z,P,1.35038815635,201608281353426119,201608281418426119
100,-148.0551,63.5335,5.7,2.8,2016-08-27T07:53:23.000000Z,2016-08-27T07:53:48.429401Z,P,1.3519467461399999,201608270743484294,201608270808484294
534,-147.3025,63.5314,15.0,2.1,2016-08-10T17:08:18.000000Z,2016-08-10T17:08:42.334864Z,P,1.35344238942,201608101658423348,201608101723423348
346,-148.0358,63.5298,6.5,2.2,2016-08-27T02:37:44.000000Z,2016-08-27T02:38:09.370131Z,P,1.3546166508000002,201608270228093701,201608270253093701
362,-144.7171,65.4252,3.1,2.2,2016-08-27T16:26:31.000000Z,2016-08-27T16:26:56.830398Z,P,1.3584129890099998,201608271616568303,201608271641568303
501,-144.7003,65.4099,3.7,2.1,2016-10-02T07:41:00.000000Z,2016-10-02T07:41:25.767969Z,P,1.3591107921099999,201610020731257679,201610020756257679
84,-144.7175,65.4324,5.8,2.9,2016-09-21T11:08:00.000000Z,2016-09-21T11:08:25.542404Z,P,1.36103528164,201609211058255424,201609211123255424
363,-148.1008,63.5249,13.6,2.2,2016-08-21T00:30:06.000000Z,2016-08-21T00:30:30.634848Z,P,1.36305636532,201608210020306348,201608210045306348
352,-144.7282,65.4485,5.2,2.2,2016-09-27T11:35:43.000000Z,2016-09-27T11:36:08.645300Z,P,1.3632815657100001,201609271126086453,201609271151086453
69,-144.7121,65.4354,3.5,3.0,2016-09-21T08:33:23.000000Z,2016-09-21T08:33:48.862926Z,P,1.3642692380399999,201609210823488629,201609210848488629
40,-144.6916,65.4193,4.8,3.3,2016-09-21T01:01:27.000000Z,2016-09-21T01:01:52.730464Z,P,1.36598325569,201609210051527304,201609210116527304
96,-144.6867,65.4149,6.2,2.9,2016-08-07T21:19:36.000000Z,2016-08-07T21:20:01.565777Z,P,1.36622426104,201608072110015657,201608072135015657
335,-144.6628,65.3982,0.4,2.3,2016-08-07T21:26:20.000000Z,2016-08-07T21:26:46.251393Z,P,1.36936082503,201608072116462513,201608072141462513
239,-144.6592,65.3956,1.7,2.4,2016-09-03T00:22:35.000000Z,2016-09-03T00:23:01.155481Z,P,1.3698274694299999,201609030013011554,201609030038011554
75,-150.8935,65.0037,18.6,3.0,2016-09-07T09:30:19.000000Z,2016-09-07T09:30:43.130438Z,P,1.36992963029,201609070920431304,201609070945431304
223,-144.6561,65.4091,19.4,2.4,2016-09-18T08:48:16.000000Z,2016-09-18T08:48:40.116952Z,P,1.3759133363499998,201609180838401169,201609180903401169
521,-149.3414,63.6837,111.8,2.1,2016-09-19T05:40:21.000000Z,2016-09-19T05:40:46.648449Z,p,1.3940984450999998,201609190530466484,201609190555466484
373,-147.3393,63.4594,0.1,2.2,2016-09-25T04:18:09.000000Z,2016-09-25T04:18:36.082415Z,P,1.4232510607799997,20160925040836824,20160925043336824
55,-150.4403,64.0041,11.8,3.2,2016-09-22T14:10:33.000000Z,2016-09-22T14:10:59.427360Z,P,1.4776985234,201609221400594273,201609221425594273
420,-146.4189,63.4788,2.8,2.2,2016-09-28T14:05:52.000000Z,2016-09-28T14:06:19.805682Z,P,1.4994107019999998,201609281356198056,201609281421198056
